"","text","lang","created_at.x","author_id","possibly_sensitive","reply_settings","id","conversation_id","location","name","protected","created_at.y","description","pinned_tweet_id","verified","username","profile_image_url","url","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"1","The governor is responsible, but those who came before him are too. This is a combination of things...Corexit, the Gulf Oil Spill,... . https   www wtsp com article news local theyll bring gloves you bring tools manatee county calls on volunteers for red tide cleanup 67 586451436","en",2018-08-24 20:33:51,"3384569867",FALSE,"everyone","1033090028497321984","1033090028497321984","Florida, USA","DGR Florida",FALSE,"2015-07-20T14:25:58.000Z","Official Deep Green Resistance Florida! You can find us on FB: https://t.co/mvnhylwMkI To find out more about this movement go to: http://t.co/nG2ib01BPW",NA,FALSE,"DGRFlorida","https://pbs.twimg.com/profile_images/627183334267879424/Sl-gfpiU_normal.png","http://t.co/w6WtgsAFRW",1,0,0,0,0,328,726,739,9,"The governor is responsible, but those who came before him are too. This is a combination of things...Corexit, the Gulf Oil Spill,... https://t.co/g1ADBe2MH5"
"2","The governor is responsible, but those who came before him are too. This is a combination of things...Corexit, the Gulf Oil Spill,... . https   www wtsp com article news local theyll bring gloves you bring tools manatee county calls on volunteers for red tide cleanup 67 586451436","en",2018-08-24 20:40:23,"175569476",FALSE,"everyone","1033091674820423681","1033091674820423681",NA,"Test The Water",FALSE,"2010-08-07T00:03:33.000Z","",NA,FALSE,"Testingthegulf","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",NA,0,0,0,0,0,3,1,1081,0,"The governor is responsible, but those who came before him are too. This is a combination of things...Corexit, the Gulf Oil Spill,... https://t.co/8ZP3h4sFDk"
"3","The governor is responsible, but those who came before him are too. This is a combination of things...Corexit, the Gulf Oil Spill,... . https   www wtsp com article news local theyll bring gloves you bring tools manatee county calls on volunteers for red tide cleanup 67 586451436","en",2018-08-24 20:43:52,"773350091440680960",FALSE,"everyone","1033092550393921536","1033092550393921536","Florida, USA","Stop the Snake",FALSE,"2016-09-07T02:40:04.000Z","Fighting Pipelines Everywhere! #waterprotectors #waterwarriors Formerly #StopSabalTrail",NA,FALSE,"Stop_the_Snake","https://pbs.twimg.com/profile_images/877741789402333184/3WRYV9fK_normal.jpg","https://t.co/qhwVEKueK1",0,0,0,0,0,1190,2015,5259,19,"The governor is responsible, but those who came before him are too. This is a combination of things...Corexit, the Gulf Oil Spill,... https://t.co/EZqKPgFnck"
"4","RT @DGRFlorida: The governor is responsible, but those who came before him are too. This is a combination of things...Corexit, the Gulf Oil Spill,... . https   www wtsp com article news local theyll bring gloves you bring tools manatee county calls on volunteers for red tide cleanup 67 586451436","en",2018-09-10 08:44:58,"29393077",FALSE,"everyone","1039072225054392320","1039072225054392320","USA","#MMW Ⓥ(⧖)🌹🏴🐾🐴🐓🦆🐨🐻🦇🦍",FALSE,"2009-04-07T05:36:35.000Z","Up The Irons🤘System Change #NotMeUs NoLISTS #HumanSupremacy #KoalasNotCoal #KeepItInTheGround #FascismIsCapitalismInDecay",NA,FALSE,"julesrs007","https://pbs.twimg.com/profile_images/949941855071846400/vBtTQkZQ_normal.jpg",NA,1,0,0,0,0,1963,2597,45871,80,"RT @DGRFlorida: The governor is responsible, but those who came before him are too. This is a combination of things...Corexit, the Gulf Oil Spill,... https://t.co/g1ADBe2MH5"
