"","text","conversation_id","reply_settings","created_at.x","possibly_sensitive","id","in_reply_to_user_id","author_id","lang","profile_image_url","description","name","username","created_at.y","protected","verified","pinned_tweet_id","location","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","url","text_with_display_links"
"1","Important perspective on how all communities in the Bay Area is dealing with this early start to the rainy season.   . https   www cltampa com news views environment article 21006580 st petersburg isnt the only city with sewage spills. https   twitter com StPetePW status 1001911712390483968 photo 1","1001911712390483968","everyone",2018-05-30 19:42:21,FALSE,"1001911712390483968",NA,"804048043804860418","en","https://pbs.twimg.com/profile_images/1075104834280439811/bS7JlS49_normal.jpg","This is the official Twitter account dedicated to news releases and ongoing information from the City of St. Petersburg Public Works Department.","St. Pete Public Works","StPetePW","2016-11-30T19:42:46.000Z",FALSE,FALSE,NA,"St Petersburg, FL","5d231ed8656fcf5a",0,0,0,0,0,776,39,1701,21,"https://t.co/jwvaQaGS1b","Important perspective on how all communities in the Bay Area is dealing with this early start to the rainy season.  https://t.co/o6jWitk72r https://t.co/OpclyJ8qQU"
"2","I guess the “inconvenient truth” here is that when the error was discovered corrective action was taken.  Can’t say the same for most liberal mistakes - you know like dumping sewage into the bay?   There you just denied until you were caught by the DEP and then you blamed others . https   twitter com kriseman status 1005164084625641473","1005492546137677824","everyone",2018-06-09 16:51:18,FALSE,"1005492546137677824",NA,"1626059071","en","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","steve schroeder","stevedawgs","2013-07-27T18:22:55.000Z",FALSE,FALSE,NA,NA,"5d231ed8656fcf5a",0,0,0,0,0,90,224,7087,1,NA,"I guess the “inconvenient truth” here is that when the error was discovered corrective action was taken.  Can’t say the same for most liberal mistakes - you know like dumping sewage into the bay?   There you just denied until you were caught by the DEP and then you blamed others https://t.co/3PMeR41SGm"
"3","Stormwater crews initiate pro-active pumping of water from Lake Maggiore to help lower lake levels and keep residents safe during any upcoming rains. . https   twitter com StPetePW status 1037765001837248514 photo 1","1037765001837248514","everyone",2018-09-06 18:10:31,FALSE,"1037765001837248514",NA,"804048043804860418","en","https://pbs.twimg.com/profile_images/1075104834280439811/bS7JlS49_normal.jpg","This is the official Twitter account dedicated to news releases and ongoing information from the City of St. Petersburg Public Works Department.","St. Pete Public Works","StPetePW","2016-11-30T19:42:46.000Z",FALSE,FALSE,NA,"St Petersburg, FL","07d9cd6661c85001",0,0,0,0,0,776,39,1701,21,"https://t.co/jwvaQaGS1b","Stormwater crews initiate pro-active pumping of water from Lake Maggiore to help lower lake levels and keep residents safe during any upcoming rains. https://t.co/GVr474q36q"
"4","Stormwater Crews prepare for Wet Weather in @StPeteFL by drawing down Lake Maggiore.  Pumping during daylight hours for next few weeks. More information here:   . http   www stpete org internal news detail_T2_R922 php. https   twitter com StPetePW status 1037795415100407809 photo 1","1037795415100407809","everyone",2018-09-06 20:11:22,FALSE,"1037795415100407809",NA,"804048043804860418","en","https://pbs.twimg.com/profile_images/1075104834280439811/bS7JlS49_normal.jpg","This is the official Twitter account dedicated to news releases and ongoing information from the City of St. Petersburg Public Works Department.","St. Pete Public Works","StPetePW","2016-11-30T19:42:46.000Z",FALSE,FALSE,NA,"St Petersburg, FL","5d231ed8656fcf5a",1,0,0,0,0,776,39,1701,21,"https://t.co/jwvaQaGS1b","Stormwater Crews prepare for Wet Weather in @StPeteFL by drawing down Lake Maggiore.  Pumping during daylight hours for next few weeks. More information here:  https://t.co/vjYonihmE5 https://t.co/mT4V7gCevb"
"5","@AlexisStargazer We are no stewards of this planet and we don’t deserve nice things. Neither land or sea is safe. 😥 . ","1552777229100367878","everyone",2022-07-28 22:12:52,FALSE,"1552779145947631616","19752399","24066976","en","https://pbs.twimg.com/profile_images/1544285990398959622/yETnBtil_normal.jpg","St Petersburg Fl via The Hudson River Fire DeSantis Go Gators and Say Gay, Fl. Please don’t pop in and ask me how I’m doing.","Not Dexter🏳️‍🌈","boxdog1031","2009-03-12T23:24:15.000Z",FALSE,FALSE,"1500181216368209920","St Petersburg (not that one) ","5d231ed8656fcf5a",0,0,1,0,0,513,312,55369,18,NA,"@AlexisStargazer We are no stewards of this planet and we don’t deserve nice things. Neither land or sea is safe. 😥 https://t.co/VH6WxlMLql"
