"","text","in_reply_to_user_id","author_id","possibly_sensitive","lang","id","reply_settings","conversation_id","created_at.x","username","description","protected","created_at.y","location","pinned_tweet_id","url","verified","profile_image_url","name","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"1","@FLGovScott @MyFWC @MyFDOT Thanks for allowing sewage and toxins to be dumped into our beautiful Gulf Waters and killing millions of wildlife fish and mammals you jerk! Vote blue Gilliam all the way","131546062","739343222",FALSE,"en","1050836946434621441","everyone","1050822943381565440",2018-10-12 19:53:46,"bethechange65","vegan,animal rights,human rights, civil rights, truth seeker and teller",FALSE,"2012-08-05T22:20:06.000Z","Tampa Bay, FL",NA,NA,FALSE,"https://pbs.twimg.com/profile_images/1035980118643142656/sbhLstBA_normal.jpg","NinaPer","c5a8a3c8523b835e",0,0,1,0,0,609,704,35300,17,"@FLGovScott @MyFWC @MyFDOT Thanks for allowing sewage and toxins to be dumped into our beautiful Gulf Waters and killing millions of wildlife fish and mammals you jerk! Vote blue Gilliam all the way"
"2","Brevard County Government : Stop dumping raw sewage in the Banana River &amp; Indian River lagoon Brevard County - Sign the Petition! https://t.co/6ABVKgXfre via @Change",NA,"739343222",FALSE,"en","1084106145294401537","everyone","1084106145294401537",2019-01-12 15:13:41,"bethechange65","vegan,animal rights,human rights, civil rights, truth seeker and teller",FALSE,"2012-08-05T22:20:06.000Z","Tampa Bay, FL",NA,NA,FALSE,"https://pbs.twimg.com/profile_images/1035980118643142656/sbhLstBA_normal.jpg","NinaPer","c5a8a3c8523b835e",0,0,0,0,0,609,704,35300,17,"Brevard County Government : Stop dumping raw sewage in the Banana River &amp; Indian River lagoon Brevard County - Sign the Petition! https://t.co/6ABVKgXfre via @Change"
"3","@MyQ105 All of them are highly affected stay out of the water stay away from the beach you can take all the politicians for dumping the raw sewage in the Manatee County spill in the water","83828822","510755849",FALSE,"en","1421247912332431367","everyone","1421221814299238402",2021-07-30 23:14:42,"TallGuy_007","2 meters X 137 Kg love music out door's (youtube channel) . https://t.co/XZGoTsuZGH $surferjo :cash app",FALSE,"2012-03-01T19:52:36.000Z","Earth","1599199168807186432","https://t.co/16SXnstngR",FALSE,"https://pbs.twimg.com/profile_images/484370902147424257/W6mUy5si_normal.jpeg","spike","c5a8a3c8523b835e",0,0,0,0,0,563,520,80994,63,"@MyQ105 All of them are highly affected stay out of the water stay away from the beach you can take all the politicians for dumping the raw sewage in the Manatee County spill in the water"
