"","text","in_reply_to_user_id","possibly_sensitive","created_at.x","reply_settings","conversation_id","author_id","lang","id","protected","location","profile_image_url","verified","username","created_at.y","name","description","pinned_tweet_id","url","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"202","@chrislongview Aww. ","800570658929262592",FALSE,2021-09-23 21:02:16,"everyone","1441119124566855683","23541984","und","1441145917202173952",FALSE,"Georgia, USA","https://pbs.twimg.com/profile_images/847955304256081922/RW_C7wrY_normal.jpg",FALSE,"shuddy","2009-03-10T02:06:25.000Z","WLM","University of SC  M. ED",NA,NA,NA,1,0,1,0,0,650,2783,35183,11,"@chrislongview Aww"
"203","@chrislongview My dog would've sank right to the bottom because she's a potato. . https   twitter com brain_birdy status 1441151994362667013 photo 1","800570658929262592",FALSE,2021-09-23 21:26:25,"everyone","1441119124566855683","1336463494368043014","en","1441151994362667013",FALSE,"Neverwhere","https://pbs.twimg.com/profile_images/1336463743853588481/I9Ny4bPr_normal.jpg",FALSE,"brain_birdy","2020-12-09T00:11:58.000Z","Aimée Vert","Don't write slogans. Write truths.-Joe Strummer","1336887485087956992","https://t.co/yaDfnkUOSa",NA,1,0,7,0,0,460,1089,10977,0,"@chrislongview My dog would've sank right to the bottom because she's a potato. https://t.co/ip005NAQkW"
"204","@chrislongview Oh Shelby, how we love you, let me count the ways …. ","800570658929262592",FALSE,2021-09-23 21:29:27,"everyone","1441119124566855683","824662936744562688","en","1441152756954198021",FALSE,NA,"https://pbs.twimg.com/profile_images/1606042864030457874/WuRGc3LC_normal.jpg",FALSE,"Jaegersmomma","2017-01-26T16:59:00.000Z","OldDominionBlue, proud Democrat💛🐝🌻","NC via VA. My VP is an Ambitious Women #ERANow #StillWithHer #VoteLikeBlackWomen #KHive #NeverBernie #HousePfizer Russian warship, go fuck yourself.","1359259331762524162",NA,NA,1,0,3,0,0,604,1001,17670,1,"@chrislongview Oh Shelby, how we love you, let me count the ways …"
"205","@chrislongview Shelby! ❤️. ","800570658929262592",FALSE,2021-09-23 21:44:09,"everyone","1441119124566855683","21351301","en","1441156455646826496",FALSE,"near Washington DC","https://pbs.twimg.com/profile_images/1214987352327802881/qeZ6066v_normal.jpg",FALSE,"duffimac","2009-02-19T23:16:49.000Z","Duffi McDermott","BLACK LIVES MATTER — she/her — bi — ❤️💜💙         officially old woman, shaking my fist at fascists",NA,NA,NA,1,0,1,0,0,1041,2125,39027,13,"@chrislongview Shelby! ❤️"
"206","@chrislongview I say WE deserved watching her swim out with her leash in her mouth, happily doing her thing.

Thank you for giving us this, Chris.. ","800570658929262592",FALSE,2021-09-23 22:34:48,"everyone","1441119124566855683","2364586963","en","1441169204166676481",FALSE,NA,"https://pbs.twimg.com/profile_images/482184946727911424/uPhMgAeZ_normal.jpeg",FALSE,"hane_does","2014-02-27T19:29:42.000Z","Jane Hudson","Our Divemaster: Who drinks coffee all day? My group: Hane Does! Also does gardening, cooking, frugality on the Texas coast.",NA,"http://t.co/WAVjlEoujn",NA,0,0,0,0,0,982,2011,84903,23,"@chrislongview I say WE deserved watching her swim out with her leash in her mouth, happily doing her thing.

Thank you for giving us this, Chris."
"207","@queenmaryresist @chrislongview That's exactly where my brain took me. It's a good thing Swimming Shelby is so entertaining to watch; I needed to be distracted from worrying about his phone 🌊📱. ","826539339739860992",FALSE,2021-09-24 02:14:45,"everyone","1441119124566855683","827032902923857920","en","1441224555905699842",FALSE,"Bay Area, California","https://pbs.twimg.com/profile_images/1587498630440570880/8faKwsOy_normal.jpg",FALSE,"LeftCoaster44","2017-02-02T05:56:24.000Z","Left Coaster 💙🇺🇸💙","Grateful for Pres. Biden and MVP Harris, family and friends, nature, walks, travel, books, photography, music, and *civilized* political discourse. And cats.","1538540399618207744",NA,NA,0,0,1,0,0,358,529,7522,0,"@queenmaryresist @chrislongview That's exactly where my brain took me. It's a good thing Swimming Shelby is so entertaining to watch; I needed to be distracted from worrying about his phone 🌊📱"
"208","@chrislongview She's jest a water dog doin' water dawg thangs, lmao. ❤️. ","800570658929262592",FALSE,2021-09-24 13:27:48,"everyone","1441119124566855683","41340991","en","1441393933766905856",FALSE,"Occupied Arapahoe Nation","https://pbs.twimg.com/profile_images/1403598671711768576/sjna8Kcx_normal.jpg",FALSE,"Needle_of_Arya","2009-05-20T11:36:52.000Z","Paying $59 to see Bernie makes you a corporate Dem","Needle_of_Arya on CounterSocial, if Twitter goes down.

You will be judged on your opinion about Harry & Meghan.","1346081161836023809",NA,NA,1,1,3,0,0,9613,6045,276014,68,"@chrislongview She's jest a water dog doin' water dawg thangs, lmao. ❤️"
"209","@Needle_of_Arya she's just a shelby shelbying around. ","41340991",FALSE,2021-09-24 13:29:10,"everyone","1441119124566855683","800570658929262592","en","1441394276974346240",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1544507225846304768/gxbelS8D_normal.jpg",FALSE,"chrislongview","2016-11-21T05:24:53.000Z","Florida Chris","Proud Montanan & Floridian. Huge nerd w/ a lab named Shelby. I raise lots of $ for stuff. Loves: Emory, Vanderbilt, Columbia, USF, beach, clearly a homo.","1283579763215532038",NA,"44c12398792e903e",0,1,2,0,0,26052,2415,431836,90,"@Needle_of_Arya she's just a shelby shelbying around"
"210","@chrislongview @queenmaryresist 👀 Damn that’s brave.. ","800570658929262592",FALSE,2021-09-24 13:32:06,"everyone","1441119124566855683","1421889115138703364","en","1441395018254602258",FALSE,"Boston, MA","https://pbs.twimg.com/profile_images/1421902434985725952/gB7bzsjQ_normal.jpg",FALSE,"HBIC__esq","2021-08-01T17:43:09.000Z","Single Issue Vagina Voter","Geriatric millennial tired of the noise.","1594018711953891333",NA,NA,1,0,3,0,0,265,2263,3122,2,"@chrislongview @queenmaryresist 👀 Damn that’s brave."
"211","@chrislongview @Needle_of_Arya SHEEELLLBBYYYYYYYYY. ","800570658929262592",FALSE,2021-09-24 13:39:53,"everyone","1441119124566855683","1236309932598636544","en","1441396974876463112",FALSE,"Arizona, USA","https://pbs.twimg.com/profile_images/1601644549159276545/Wozrn1Mp_normal.jpg",FALSE,"Grania64156311","2020-03-07T15:17:27.000Z","Molly Lyons ☘️ Gráinne Ní Mháille 💛 ⚖️ 🐝","Molly Lyons 💛🐝⚖️ Theatre Artist. Dog mom. #BidenHarris  🐳@ mollylyons P0st @ mollylyons extinct elephant @ MollyLyonsGrania https://t.co/rABVma95Qp","1574867581391048705",NA,NA,0,0,2,0,0,2406,2769,92422,17,"@chrislongview @Needle_of_Arya SHEEELLLBBYYYYYYYYY"
