"","text","conversation_id","in_reply_to_user_id","author_id","reply_settings","possibly_sensitive","lang","created_at.x","id","verified","location","profile_image_url","username","description","created_at.y","name","protected","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","pinned_tweet_id","url","text_with_display_links"
"16",". https   thehill com homenews state watch 407141 florida governor booed out of restaurant over red tide algae issues","1042884134165774336",NA,"497468210","everyone",FALSE,"zxx",2018-09-20 21:12:08,"1042884134165774336",FALSE,"I'm still 👉🌎","https://pbs.twimg.com/profile_images/739561742057885697/GKSgtVEh_normal.jpg","BaconJoel","Environment","2012-02-20T01:18:56.000Z","Rule of Law",FALSE,0,0,0,0,0,"0160ed302dcb7707",1013,4780,56512,17,NA,NA,"https://t.co/XSxTkUhm58"
"17","How clever. #TrickyRick wants Research 8 Years LATE! (Same guy who banned #ClimateChange from gov docs) #BanRickScott #VoteBillNelson After boos and protests, Rick Scott calls for red tide research center, task force . https   www orlandoweekly com Blogs archives 2018 09 20 after boos and protests rick scott calls for red tide research center task force","1042917549741170689",NA,"1045136112","everyone",FALSE,"en",2018-09-20 23:24:54,"1042917549741170689",FALSE,"San Antonio, Fl","https://pbs.twimg.com/profile_images/1570914858442309640/CHcBIOgg_normal.jpg","lfsgd_diane","Retired Teacher. FL via NH via MA. Equality Advocate since '68. Not stopping now. Pass the damn ERA! My Sports & entertainment Acct: @SportsandRving","2012-12-29T15:16:02.000Z","Diane Verhoest",FALSE,0,0,0,0,0,"0078551d41f411af",2130,4627,156474,96,"1144261559142748160",NA,"How clever. #TrickyRick wants Research 8 Years LATE! (Same guy who banned #ClimateChange from gov docs) #BanRickScott #VoteBillNelson After boos and protests, Rick Scott calls for red tide research center, task force https://t.co/b0BT9DmssC"
"18","On Wednesday Scott said Florida just needed a “Good East Wind”. #RickScott is #FullOfAir After boos and protests, Rick Scott calls for red tide research center, task force . https   www orlandoweekly com Blogs archives 2018 09 20 after boos and protests rick scott calls for red tide research center task force","1042917988125556737",NA,"1045136112","everyone",FALSE,"en",2018-09-20 23:26:39,"1042917988125556737",FALSE,"San Antonio, Fl","https://pbs.twimg.com/profile_images/1570914858442309640/CHcBIOgg_normal.jpg","lfsgd_diane","Retired Teacher. FL via NH via MA. Equality Advocate since '68. Not stopping now. Pass the damn ERA! My Sports & entertainment Acct: @SportsandRving","2012-12-29T15:16:02.000Z","Diane Verhoest",FALSE,0,0,0,0,0,"0078551d41f411af",2130,4627,156474,96,"1144261559142748160",NA,"On Wednesday Scott said Florida just needed a “Good East Wind”. #RickScott is #FullOfAir After boos and protests, Rick Scott calls for red tide research center, task force https://t.co/b0BT9DmssC"
"19","Different kind of red tide.... . https   twitter com WFLA status 1043895500620136448","1043899807063060480",NA,"3248075346","everyone",FALSE,"en",2018-09-23 16:28:03,"1043899807063060480",FALSE,"Hell","https://pbs.twimg.com/profile_images/1519346201363103746/AtRYrzu0_normal.jpg","BalzHari","","2015-06-17T19:36:09.000Z","Robert Paulson",FALSE,0,0,0,0,0,"48754d0fac025a6f",91,853,17314,1,NA,NA,"Different kind of red tide.... https://t.co/xOGCS9K4IV"
"20","How can DeSantis fight #RedTide? @RepGusBilirakis said he would take care of that all Next Week! #NoRealPromises . https   twitter com FloridaGOP status 1044745085093642240","1045875095561011201",NA,"1045136112","everyone",FALSE,"en",2018-09-29 03:17:08,"1045875095561011201",FALSE,"San Antonio, Fl","https://pbs.twimg.com/profile_images/1570914858442309640/CHcBIOgg_normal.jpg","lfsgd_diane","Retired Teacher. FL via NH via MA. Equality Advocate since '68. Not stopping now. Pass the damn ERA! My Sports & entertainment Acct: @SportsandRving","2012-12-29T15:16:02.000Z","Diane Verhoest",FALSE,0,0,0,0,0,"0078551d41f411af",2130,4627,156474,96,"1144261559142748160",NA,"How can DeSantis fight #RedTide? @RepGusBilirakis said he would take care of that all Next Week! #NoRealPromises https://t.co/VWKIUxbuMu"
"21","@Gater_Chomp @Tygartman @SteveKornacki And the results of red tide. . https   twitter com PasteIpunk status 1050400351764054016 photo 1","1050331012088168448","233232026","900976849","everyone",FALSE,"en",2018-10-11 14:58:54,"1050400351764054016",FALSE,"Florida, Chicago","https://pbs.twimg.com/profile_images/1589709120088817664/nlsDwxnp_normal.jpg","PasteIpunk","Those who destroy each other in the name of political systems are greedy, lustful men. Their power depends on many people. Deny them yours; they are powerless.","2012-10-24T01:50:24.000Z","Pastel Punk ♏️",FALSE,0,0,2,0,0,"2d1b0aee7297f004",323,98,25247,0,NA,NA,"@Gater_Chomp @Tygartman @SteveKornacki And the results of red tide. https://t.co/TxIIdLHxKS"
"22","Red Tide? #ROLLTIDE @GeoOnAir @RadioKayla. ","1051261372972052480",NA,"876939252","everyone",FALSE,"da",2018-10-14 00:00:17,"1051261372972052480",FALSE,NA,"https://pbs.twimg.com/profile_images/1599592635622215680/Hb2h4YQC_normal.jpg","michaelt02jr","a lil well balanced slug, long board GRAD","2012-10-13T03:07:52.000Z","michael terrell jr",FALSE,0,0,0,0,0,"2d1b0aee7297f004",70,368,3341,1,NA,NA,"Red Tide? #ROLLTIDE @GeoOnAir @RadioKayla"
"23","RED TIDE RICK NOT FOR SENATOR!

 . https   communitynewspapers com south miami red tide rick. https   twitter com paulmcclintock status 1053081909910298624 photo 1","1053081909910298624",NA,"61768027","everyone",FALSE,"en",2018-10-19 00:34:27,"1053081909910298624",FALSE,"West Coast of Central Florida","https://pbs.twimg.com/profile_images/1572640573470687234/rf4cOXod_normal.jpg","paulmcclintock","Long retired K9 LEO■
HACKER STILL UNFOLLOWING
HUNDREDS that FOLLOW ME!
🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑
TWITTER: PLEASE REFOLLOW ALL THAT FOLLOW ME!

@TWITTER SUPPORT 🛑","2009-07-31T13:16:49.000Z","Paul McClintock",FALSE,0,0,0,0,0,"41de88d76c42e840",18722,10680,414566,573,"1616828084233158656",NA,"RED TIDE RICK NOT FOR SENATOR!

https://t.co/HK1z0jxqhx https://t.co/XXB07t4xKg"
"24","@ckjohnston1 @CNN @ECMcLaughlin God willing and we clean out the red tide.. ","1053139949971746816","2887825548","900976849","everyone",FALSE,"en",2018-10-19 09:24:49,"1053215381681291264",FALSE,"Florida, Chicago","https://pbs.twimg.com/profile_images/1589709120088817664/nlsDwxnp_normal.jpg","PasteIpunk","Those who destroy each other in the name of political systems are greedy, lustful men. Their power depends on many people. Deny them yours; they are powerless.","2012-10-24T01:50:24.000Z","Pastel Punk ♏️",FALSE,0,0,1,0,0,"2d1b0aee7297f004",323,98,25247,0,NA,NA,"@ckjohnston1 @CNN @ECMcLaughlin God willing and we clean out the red tide."
"25",". https   communitynewspapers com south miami red tide rick","1053331491843903488",NA,"61768027","everyone",FALSE,"zxx",2018-10-19 17:06:12,"1053331491843903488",FALSE,"West Coast of Central Florida","https://pbs.twimg.com/profile_images/1572640573470687234/rf4cOXod_normal.jpg","paulmcclintock","Long retired K9 LEO■
HACKER STILL UNFOLLOWING
HUNDREDS that FOLLOW ME!
🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑
TWITTER: PLEASE REFOLLOW ALL THAT FOLLOW ME!

@TWITTER SUPPORT 🛑","2009-07-31T13:16:49.000Z","Paul McClintock",FALSE,0,0,0,1,0,"41de88d76c42e840",18722,10680,414566,573,"1616828084233158656",NA,"https://t.co/HK1z0jxqhx"
