"","text","conversation_id","author_id","reply_settings","possibly_sensitive","lang","created_at.x","id","verified","location","profile_image_url","url","username","description","pinned_tweet_id","created_at.y","name","protected","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","in_reply_to_user_id","geo_place_id","text_with_display_links","reply.to.thread.no.term"
"11","Pollution controls include stopping it at the source - The News-Press . https   news google com home","1025425326698987527","587725180","everyone",FALSE,"en",2018-08-03 16:57:04,"1025425326698987527",FALSE,NA,"https://pbs.twimg.com/profile_images/2294906867/0kbi0sxxoy2txgfk9vx7_normal.jpeg",NA,"WaterPollution9","Follow us to get the latest news about Water Pollution",NA,"2012-05-22T20:24:00.000Z","Water Pollution",FALSE,0,0,1,0,0,2896,3176,14751,55,NA,NA,"Pollution controls include stopping it at the source - The News-Press https://t.co/3bSZBHXwoT",FALSE
"12","Pollution controls include stopping it at the source - The News-Press . https   news google com home","1025425331392401409","1049977021","everyone",FALSE,"en",2018-08-03 16:57:05,"1025425331392401409",FALSE,"Newcastle","https://pbs.twimg.com/profile_images/3403930035/cb33c7debb71738617c005e666ba5db4_normal.jpeg",NA,"WaterPollution3","Fantasy Water Pollution News from news sources all around the world",NA,"2012-12-31T09:45:19.000Z","Water Pollution",FALSE,0,0,1,0,0,476,618,10495,4,NA,NA,"Pollution controls include stopping it at the source - The News-Press https://t.co/hAuodhVuxl",FALSE
"13","Fort Myers, Cape Coral at center of water quality tragedies - red tide and blue-green algal bloom  . https   newspr es 2vfXX1j. https   twitter com TheNewsPress status 1025450765945434112 photo 1","1025450765945434112","14089276","everyone",FALSE,"en",2018-08-03 18:38:09,"1025450765945434112",TRUE,"Fort Myers, Florida","https://pbs.twimg.com/profile_images/922852221376659458/R2leuYRD_normal.jpg","https://t.co/XiM12tGboe","TheNewsPress","Reporting the news of Fort Myers, Cape Coral + SW Florida since 1884. @USATODAY Network. Breaking news, things to do, investigations, food, arts, nature + more.",NA,"2008-03-06T15:44:28.000Z","The News-Press",FALSE,7,1,4,1,0,90038,1147,165197,774,NA,NA,"Fort Myers, Cape Coral at center of water quality tragedies - red tide and blue-green algal bloom https://t.co/ozEX9DS9oV https://t.co/nPaqDgKRpS",FALSE
"14","@TheNewsPress  . https   twitter com Feisdancer status 1025451942665965569 photo 1","1025450765945434112","1392566808","everyone",FALSE,"qme",2018-08-03 18:42:49,"1025451942665965569",FALSE,"Boston, Ma.","https://pbs.twimg.com/profile_images/1399742851664257032/46x_UBOt_normal.jpg",NA,"Feisdancer","Animal rights activist since 1973. Anti Trump and his minions. End Factory Farming. Adopt don't Shop. Honor the Treaties made with Indigenous Peoples.",NA,"2013-04-30T17:21:07.000Z","Dianne B",FALSE,0,0,0,0,0,255,734,10965,0,"14089276",NA,"@TheNewsPress  https://t.co/oAkZp4PArS",TRUE
"15","RT @TheNewsPress: Fort Myers, Cape Coral at center of water quality tragedies - red tide and blue-green algal bloom  . https   newspr es 2vfXX1j. https   twitter com TheNewsPress status 1025450765945434112 photo 1","1025452013444849666","1392566808","everyone",FALSE,"en",2018-08-03 18:43:06,"1025452013444849666",FALSE,"Boston, Ma.","https://pbs.twimg.com/profile_images/1399742851664257032/46x_UBOt_normal.jpg",NA,"Feisdancer","Animal rights activist since 1973. Anti Trump and his minions. End Factory Farming. Adopt don't Shop. Honor the Treaties made with Indigenous Peoples.",NA,"2013-04-30T17:21:07.000Z","Dianne B",FALSE,7,0,0,0,0,256,733,10961,0,NA,NA,"RT @TheNewsPress: Fort Myers, Cape Coral at center of water quality tragedies - red tide and blue-green algal bloom https://t.co/ozEX9DS9oV https://t.co/nPaqDgKRpS",FALSE
"16","RT @TheNewsPress: Fort Myers, Cape Coral at center of water quality tragedies - red tide and blue-green algal bloom  . https   newspr es 2vfXX1j. https   twitter com TheNewsPress status 1025450765945434112 photo 1","1025453428070408192","2388040357","everyone",FALSE,"en",2018-08-03 18:48:43,"1025453428070408192",TRUE,"Indianapolis, IN","https://pbs.twimg.com/profile_images/1569328489479667714/CEg9qfxy_normal.jpg","https://t.co/bvXj9aIN0e","CarloniBrittany","Carmel/Westfield reporter for @indystar • Dog mom to Atticus 🐾 • Milwaukee area native • @MarquetteU grad • Support your local newspaper",NA,"2014-03-13T23:01:11.000Z","Brittany Carloni",FALSE,7,0,0,0,0,1461,1168,3696,24,NA,NA,"RT @TheNewsPress: Fort Myers, Cape Coral at center of water quality tragedies - red tide and blue-green algal bloom https://t.co/ozEX9DS9oV https://t.co/nPaqDgKRpS",FALSE
"17","RT @TheNewsPress: Fort Myers, Cape Coral at center of water quality tragedies - red tide and blue-green algal bloom  . https   newspr es 2vfXX1j. https   twitter com TheNewsPress status 1025450765945434112 photo 1","1025454321251627015","597001494","everyone",FALSE,"en",2018-08-03 18:52:16,"1025454321251627015",FALSE,NA,"https://pbs.twimg.com/profile_images/1423730762428391425/TW5x27_v_normal.jpg",NA,"jason_meyer98","\\ FAITH & FAMILY  \\ Isaiah 43:2✝️ \\ Aspiring Firefighter🔥👨🏻‍🚒","881279825620742145","2012-06-02T00:08:25.000Z","Jason",FALSE,7,0,0,0,0,413,762,6635,1,NA,NA,"RT @TheNewsPress: Fort Myers, Cape Coral at center of water quality tragedies - red tide and blue-green algal bloom https://t.co/ozEX9DS9oV https://t.co/nPaqDgKRpS",FALSE
"18","Fort Myers, Cape Coral at center of two water quality tragedies – red tide and blue-green algal bloom  via @thenewspress. https   newspr es 2vxQU3f","1025459989241114629","16196649","everyone",FALSE,"en",2018-08-03 19:14:48,"1025459989241114629",TRUE,"Cape Coral, Florida","https://pbs.twimg.com/profile_images/1530009165401301007/BWW7xNg0_normal.jpg","https://t.co/NqSrpoBvtw","CoryODonnell","Tall. Burly. Hirsute. 🦺 Marketing Mgr🎙Podcaster @FLAFreakshow. 📝 Storyteller. Fmrly @USATODAY 🗞 Ambassador of Fun. Imbiber of Delight.☘️ he/him 🤙","1235234926578065409","2008-09-09T02:43:07.000Z","CORY☀️O’DONNELL",FALSE,5,1,3,1,0,1897,1992,13796,72,NA,NA,"Fort Myers, Cape Coral at center of two water quality tragedies – red tide and blue-green algal bloom https://t.co/M22tPHXtK9 via @thenewspress",FALSE
"19","RT @TheNewsPress: Fort Myers, Cape Coral at center of water quality tragedies - red tide and blue-green algal bloom  . https   newspr es 2vfXX1j. https   twitter com TheNewsPress status 1025450765945434112 photo 1","1025461563061350400","763537721684070402","everyone",FALSE,"en",2018-08-03 19:21:03,"1025461563061350400",FALSE,"Mobile,al","https://pbs.twimg.com/profile_images/869609281783566338/8Po-Ujan_normal.jpg",NA,"ejd922again","",NA,"2016-08-11T00:49:13.000Z","LizD",FALSE,7,0,0,0,0,496,634,79199,1,NA,NA,"RT @TheNewsPress: Fort Myers, Cape Coral at center of water quality tragedies - red tide and blue-green algal bloom https://t.co/ozEX9DS9oV https://t.co/nPaqDgKRpS",FALSE
"20","RT @TheNewsPress: Fort Myers, Cape Coral at center of water quality tragedies - red tide and blue-green algal bloom  . https   newspr es 2vfXX1j. https   twitter com TheNewsPress status 1025450765945434112 photo 1","1025462731598712832","753200431","everyone",FALSE,"en",2018-08-03 19:25:42,"1025462731598712832",FALSE,"Miami, FL","https://pbs.twimg.com/profile_images/878008705756868608/TtRGES49_normal.jpg",NA,"raquelmartin66","Live by the sun. Love by the moon.",NA,"2012-08-12T14:23:43.000Z","Raquel Martin",FALSE,7,0,0,0,0,129,304,6459,8,NA,NA,"RT @TheNewsPress: Fort Myers, Cape Coral at center of water quality tragedies - red tide and blue-green algal bloom https://t.co/ozEX9DS9oV https://t.co/nPaqDgKRpS",FALSE
