"","text","possibly_sensitive","author_id","created_at.x","lang","id","reply_settings","conversation_id","name","profile_image_url","verified","protected","description","username","created_at.y","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","in_reply_to_user_id","pinned_tweet_id","location","url","geo_place_id","text_with_display_links","reply.to.thread.no.term"
"414","RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  . https   www commondreams org news 2021 08 09 corporate polluters and desantis face ire hundreds tons sea life dead florida",FALSE,"767185237990178816",2021-08-14 03:05:44,"en","1426379486052900865","everyone","1426379486052900865","Leslie Field","https://pbs.twimg.com/profile_images/907045179294666752/Pmi1Dz5g_normal.jpg",FALSE,FALSE,"","lesafy7","2016-08-21T02:23:09.000Z",321,0,0,0,0,658,513,88657,1,NA,NA,"Okemos, MI",NA,NA,"RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  https://t.co/BnPHioFTe7",FALSE
"415","RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  . https   www commondreams org news 2021 08 09 corporate polluters and desantis face ire hundreds tons sea life dead florida",FALSE,"17396161",2021-08-14 03:07:44,"en","1426379986748026882","everyone","1426379986748026882","dbk7269 🇺🇦🇺🇸🇨🇦🦞","https://pbs.twimg.com/profile_images/1381267034240077831/If9lA_N7_normal.jpg",FALSE,FALSE,"","dbk7269","2008-11-14T21:24:11.000Z",321,0,0,0,0,230,1238,28372,1,NA,NA,NA,NA,NA,"RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  https://t.co/BnPHioFTe7",FALSE
"416","RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  . https   www commondreams org news 2021 08 09 corporate polluters and desantis face ire hundreds tons sea life dead florida",FALSE,"2190326065",2021-08-14 03:09:04,"en","1426380322145452032","everyone","1426380322145452032","lgambill","https://pbs.twimg.com/profile_images/1020628174265298945/eyENIuhM_normal.jpg",FALSE,FALSE,"What does it all mean?","lgambill1","2013-11-12T13:13:28.000Z",321,0,0,0,0,188,363,14485,4,NA,NA,NA,NA,NA,"RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  https://t.co/BnPHioFTe7",FALSE
"417","RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  . https   www commondreams org news 2021 08 09 corporate polluters and desantis face ire hundreds tons sea life dead florida",FALSE,"39183849",2021-08-14 03:09:17,"en","1426380375387873291","everyone","1426380375387873291","And who might you be?","https://pbs.twimg.com/profile_images/3574578244/ae91865d4eb39fd90928d23582279353_normal.jpeg",FALSE,FALSE,"Freelance writer for all things consumer tech. Follows a paleo-informed lifestyle. Loves to hike. RTs≠endorsements
Also WBryanH at the elefant & p*st.n*ws sites","WBryanH","2009-05-11T03:37:31.000Z",321,0,0,0,0,262,580,93580,6,NA,"1441932717315133443","SF Bay area","https://t.co/3LL97BZKuj",NA,"RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  https://t.co/BnPHioFTe7",FALSE
"418","RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  . https   www commondreams org news 2021 08 09 corporate polluters and desantis face ire hundreds tons sea life dead florida",FALSE,"1264214439043063809",2021-08-14 03:09:48,"en","1426380509286866945","everyone","1426380509286866945","(((Quasimodo Perpetuo)))","https://pbs.twimg.com/profile_images/1268903346498199553/e6YYlKB7_normal.jpg",FALSE,FALSE,"MoT. ENM. GGG.  
Here to nuzzle the kind, bark at the wicked, and bite louts.
Likes, follows, and retweets mean fuck-all; i don't know who most of you ppl are","DebaranAlex","2020-05-23T15:19:55.000Z",321,0,0,0,0,227,893,28341,1,NA,NA,"eARTh",NA,NA,"RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  https://t.co/BnPHioFTe7",FALSE
"419","RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  . https   www commondreams org news 2021 08 09 corporate polluters and desantis face ire hundreds tons sea life dead florida",FALSE,"898595706449133569",2021-08-14 03:11:11,"en","1426380853815414784","everyone","1426380853815414784","Denise Parrington","https://pbs.twimg.com/profile_images/1326358710160138240/ayBn5VGf_normal.jpg",FALSE,FALSE,"No DMs!!!","DeniseParringt4","2017-08-18T17:21:26.000Z",321,0,0,0,0,788,1280,209144,4,NA,NA,NA,NA,NA,"RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  https://t.co/BnPHioFTe7",FALSE
"420","RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  . https   www commondreams org news 2021 08 09 corporate polluters and desantis face ire hundreds tons sea life dead florida",FALSE,"867064910",2021-08-14 03:11:21,"en","1426380897599860736","everyone","1426380897599860736","Pragmatic Humanist","https://pbs.twimg.com/profile_images/2749729812/abac241449d1d917884eee349aaa9981_normal.jpeg",FALSE,FALSE,"Maverick, pragmatic humanist, farmer/businessman, woodworker, old tractors, real science. Genealogy nut. Shawnee Straight Tail Meaurroway 7th greatgrandfather","horsehugger","2012-10-07T22:37:50.000Z",321,0,0,0,0,182,267,65981,6,NA,NA,"Central Indiana",NA,NA,"RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  https://t.co/BnPHioFTe7",FALSE
"421","RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  . https   www commondreams org news 2021 08 09 corporate polluters and desantis face ire hundreds tons sea life dead florida",FALSE,"857141664",2021-08-14 03:11:24,"en","1426380909826162697","everyone","1426380909826162697","susan caran","https://pbs.twimg.com/profile_images/1497061542025641984/xo66t3vO_normal.jpg",FALSE,FALSE,"","CaranSusan","2012-10-01T22:56:39.000Z",321,0,0,0,0,339,804,35641,9,NA,NA,"United States",NA,NA,"RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  https://t.co/BnPHioFTe7",FALSE
"422","RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  . https   www commondreams org news 2021 08 09 corporate polluters and desantis face ire hundreds tons sea life dead florida",FALSE,"951982458",2021-08-14 03:12:20,"en","1426381145902563328","everyone","1426381145902563328","DScorpio13","https://pbs.twimg.com/profile_images/3604227881/38d7f11719aec348624452f9d0b2eb2f_normal.jpeg",FALSE,FALSE,"I live I breathe I exist...What a world.  I play keyboards, percussion, and sing in a local SWF Band
....it's pretty cool...","PoeticZoetic13","2012-11-16T16:31:35.000Z",321,0,0,0,0,275,1012,20985,1,NA,NA,"Englewood Florida",NA,NA,"RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  https://t.co/BnPHioFTe7",FALSE
"423","RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  . https   www commondreams org news 2021 08 09 corporate polluters and desantis face ire hundreds tons sea life dead florida",FALSE,"1140725219050577922",2021-08-14 03:14:07,"en","1426381592524640260","everyone","1426381592524640260","Jeffrey A. Williams","https://pbs.twimg.com/profile_images/1140726571600359424/MNI8RSKn_normal.jpg",FALSE,FALSE,"I am dynamic, Retired Marine Aviator, #Bitcoin investor, #OTCtrader, #Cryptocurrency exchange developer, #Entrepreneur, #Venturecapitalist, #ITsecurity","JeffreyAWillia4","2019-06-17T20:57:40.000Z",321,0,0,0,0,3892,4993,335241,60,NA,NA,"Gunter Texas",NA,NA,"RT @Mistyfied352: Experts have linked Florida officials' April decision to pump Piney Point  wastewater into Tampa Bay to causing the red tide deaths of 1700 TONS of sea life in Pinellas County alone. #DeathSantis still refuses to issue a state of emergency. #DemCastFL  https://t.co/BnPHioFTe7",FALSE
