"","text","possibly_sensitive","conversation_id","lang","author_id","created_at.x","reply_settings","id","in_reply_to_user_id","username","location","profile_image_url","name","protected","created_at.y","verified","description","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","url","pinned_tweet_id","text_with_display_links"
"1","@GovRonDeSantis Let PR grow sugar and hold Cor Army engineers to the promise to fix the damn. Find out what the oil company dumped in the gulf during leak.. ",FALSE,"1101612465337585664","en","2924063531",2019-03-02 05:15:20,"everyone","1101712569541251075","1058807868","KathleenLong","FL","https://pbs.twimg.com/profile_images/1253505095993622528/RyzqeJXb_normal.jpg","KLONG",FALSE,"2014-12-16T01:43:59.000Z",FALSE,"#KAG Women for Trump Native NY'er #ProLife #MAGA2020 #Red wave #Family #standwithIsrael ✝ my family served #LivePDNation","b83641daa7c732dc",0,0,0,0,0,418,976,18152,6,"https://t.co/CGcqdKFH9p","1253508562321641472","@GovRonDeSantis Let PR grow sugar and hold Cor Army engineers to the promise to fix the damn. Find out what the oil company dumped in the gulf during leak."
"2","@Charliekirk11 ""Thousands of volunteers attempt to clean up Brazilian beaches in the wake of ‘mysterious’ oil spill""  . https   twitter com i events 1186832408168939520",FALSE,"1187000177791590402","en","2914194664",2019-10-23 13:37:50,"everyone","1187000177791590402","292929271","BevComstock","TAMPA BAY FLORIDA","https://pbs.twimg.com/profile_images/823970421989113857/zkwdo3cA_normal.jpg","Trumpette",FALSE,"2014-12-10T18:31:41.000Z",FALSE,"IFB Patriots, Cool Babe packing heat.💋 
#Build the Wall #VoteMuslimsOut,
#voter mail-in fraud.#Get OUT OF UN #Punish China 4VIRUS #Go Back To Work","d096ac3f2b0da338",0,0,0,0,0,3192,3625,44392,20,NA,NA,"@Charliekirk11 ""Thousands of volunteers attempt to clean up Brazilian beaches in the wake of ‘mysterious’ oil spill""  https://t.co/YEeqr8Wlic"
