"","text","id","conversation_id","created_at.x","lang","possibly_sensitive","author_id","reply_settings","in_reply_to_user_id","location","name","username","protected","verified","description","profile_image_url","created_at.y","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","url","pinned_tweet_id","text_with_display_links"
"11","The very same people feeling good about abandoning #plasticstraws to #savetheoceans won't hold their #Floridapoliticians (and #Fanjuls and #Motts) accountable for #redtide from #lakeOkeechobee runoff. #sellout #bigsugar. ","1027165913332822016","1027165913332822016",2018-08-08 12:13:32,"en",FALSE,"18654365","everyone",NA,"Land O Lakes, FL , USA","Mark S. Hankins","flacorps",FALSE,FALSE,"(it) Incorporation Lawyer and Entrepreneur in sunny Florida","https://pbs.twimg.com/profile_images/1860776023/Mark_Hankins_Portrait_normal.jpg","2009-01-06T00:52:46.000Z",0,0,0,0,0,"00b6a1c7611dcf24",277,568,11653,34,"https://t.co/Rm3YjX8jK1","1314013909590867969","The very same people feeling good about abandoning #plasticstraws to #savetheoceans won't hold their #Floridapoliticians (and #Fanjuls and #Motts) accountable for #redtide from #lakeOkeechobee runoff. #sellout #bigsugar"
"12","This is on #RickScott and #Florida ##GOP Follow the #SlimeTrail Florida gutted water quality monitoring – as killer algae increased . https   www tampabay com florida politics buzz 2018 08 07 florida gutted water quality monitoring as killer algae increased","1027206114415394816","1027206114415394816",2018-08-08 14:53:16,"en",FALSE,"1045136112","everyone",NA,"San Antonio, Fl","Diane Verhoest","lfsgd_diane",FALSE,FALSE,"Retired Teacher. FL via NH via MA. Equality Advocate since '68. Not stopping now. Pass the damn ERA! My Sports & entertainment Acct: @SportsandRving","https://pbs.twimg.com/profile_images/1570914858442309640/CHcBIOgg_normal.jpg","2012-12-29T15:16:02.000Z",0,0,0,0,0,"0078551d41f411af",2130,4627,156474,96,NA,"1144261559142748160","This is on #RickScott and #Florida ##GOP Follow the #SlimeTrail Florida gutted water quality monitoring – as killer algae increased https://t.co/WMgreF9ZjZ"
"13","School starts Monday. I had wisdom teeth surgery. The beach has red tide. It rains every day. I’m. So. Bored. 🙃. ","1027597385105584128","1027597385105584128",2018-08-09 16:48:03,"en",FALSE,"1932546492","everyone",NA,NA,"Sara Stannard","svstannard",FALSE,FALSE,"2 Timothy 1:7","https://pbs.twimg.com/profile_images/1126688663994126348/smFI5iCO_normal.jpg","2013-10-04T01:02:18.000Z",0,0,3,0,0,"01b3cd14363fbf47",169,208,7535,2,"https://t.co/68rFb5DT9b",NA,"School starts Monday. I had wisdom teeth surgery. The beach has red tide. It rains every day. I’m. So. Bored. 🙃"
"14","NOW he touts the algae bloom #RickScottPhotoOp . https   twitter com SchmitzMedia status 1027938486001774594","1027939479854764032","1027939479854764032",2018-08-10 15:27:24,"en",FALSE,"1045136112","everyone",NA,"San Antonio, Fl","Diane Verhoest","lfsgd_diane",FALSE,FALSE,"Retired Teacher. FL via NH via MA. Equality Advocate since '68. Not stopping now. Pass the damn ERA! My Sports & entertainment Acct: @SportsandRving","https://pbs.twimg.com/profile_images/1570914858442309640/CHcBIOgg_normal.jpg","2012-12-29T15:16:02.000Z",0,0,0,0,0,"0078551d41f411af",2130,4627,156474,96,NA,"1144261559142748160","NOW he touts the algae bloom #RickScottPhotoOp https://t.co/CmebSY2GQx"
"15","@LeesyPeesy @mpatt70 @realDonaldTrump It's funny that they cannot come up with a slogan of their own, they have to co-opt the Dems'!  And if they paid attention to the red algae issues on Florida's coastline, they might reconsider ""Red Wave"" as it is not a good thing!. ","1028062906116702209","1028030912095838208",2018-08-10 23:37:51,"en",FALSE,"240940301","everyone","24380508","Florida, USA","Jami Lee","luvnfiction",FALSE,FALSE,"Animal activist, care for companion animals, book addict, & love my Boston Terrier, Oreo. Fighting for equality for all. Fighting for Democracy.","https://pbs.twimg.com/profile_images/1363324942343942149/BFxgtFoK_normal.jpg","2011-01-21T02:40:04.000Z",0,0,1,0,0,"79dc2655046fbc40",2930,4797,110769,8,NA,NA,"@LeesyPeesy @mpatt70 @realDonaldTrump It's funny that they cannot come up with a slogan of their own, they have to co-opt the Dems'!  And if they paid attention to the red algae issues on Florida's coastline, they might reconsider ""Red Wave"" as it is not a good thing!"
"16","High concentrations of #redtide observed 10 miles offshore of Pinellas County  @WFLA . https   www wfla com 1404852848. https   twitter com WFLAAmanda status 1034893265651335168 photo 1","1034893265651335168","1034893265651335168",2018-08-29 19:59:16,"en",FALSE,"165145192","everyone",NA,"Tampa, FL","Amanda Granit #teamhcso","AmandaGranit",FALSE,FALSE,"Chief Comms Officer at @HCSOSheriff. Grilled cheese is my spirit animal. That's all.","https://pbs.twimg.com/profile_images/1558240665917603842/NQ2xQaJs_normal.jpg","2010-07-10T18:45:00.000Z",0,0,0,0,0,"79dc2655046fbc40",7709,3376,16340,146,NA,NA,"High concentrations of #redtide observed 10 miles offshore of Pinellas County https://t.co/iNzzoHCDox @WFLA https://t.co/CtfzGjogxD"
"17","@The_Trump_Train @realDonaldTrump Since MAGATs can't come up with an original slogan, I've got a truly appropriate one for you...red tide! Kills all in it's path!. ","1035135563685392385","1035125176617365504",2018-08-30 12:02:04,"en",FALSE,"240940301","everyone","4102376488","Florida, USA","Jami Lee","luvnfiction",FALSE,FALSE,"Animal activist, care for companion animals, book addict, & love my Boston Terrier, Oreo. Fighting for equality for all. Fighting for Democracy.","https://pbs.twimg.com/profile_images/1363324942343942149/BFxgtFoK_normal.jpg","2011-01-21T02:40:04.000Z",0,1,0,0,0,"01512cee0fd2f281",2930,4797,110769,8,NA,NA,"@The_Trump_Train @realDonaldTrump Since MAGATs can't come up with an original slogan, I've got a truly appropriate one for you...red tide! Kills all in it's path!"
"18","@Lee49175759 @deezel21 @vlamagirl @hollyanderson30 @p_machor @aluca95 @aveiestweets @IHeartChadMM87 @MeganMae012 @Curly_Fleur @willmpolk @Flash_Katie237 @Sinjun45 @MarieT1834 @BrokenBridgeGXB @arjay_clark @pete @SeanGor67395556 @TimminsKlingon @TrekkieBrian @startrek1977 @darthnerfherder @Frazleytastic @trek_ken @Tristan_in_Jax @Glitter_Rock I’m looking forward to my lazy weekend too. No scuba diving due to red tide.  Almost 2 months since my last dive.. ","1035267467562639365","1034916165624246272",2018-08-30 20:46:13,"en",FALSE,"864964442806726656","everyone","962025055088758784","Wesley Chapel, FL","Jake Obadia","IronWolf714",FALSE,FALSE,"I, Jake Borg King. Empire, Alpha to Delta Quadrant. Offshoot of 7 of 9 and Doctor's mobile emitter. Borg free will and self aware. Resistance is Futile","https://pbs.twimg.com/profile_images/1122485897210081285/Wpdkq8J9_normal.jpg","2017-05-17T22:02:48.000Z",1,1,2,0,0,"0003df7b402165e0",1755,1886,62114,9,NA,NA,"@Lee49175759 @deezel21 @vlamagirl @hollyanderson30 @p_machor @aluca95 @aveiestweets @IHeartChadMM87 @MeganMae012 @Curly_Fleur @willmpolk @Flash_Katie237 @Sinjun45 @MarieT1834 @BrokenBridgeGXB @arjay_clark @pete @SeanGor67395556 @TimminsKlingon @TrekkieBrian @startrek1977 @darthnerfherder @Frazleytastic @trek_ken @Tristan_in_Jax @Glitter_Rock I’m looking forward to my lazy weekend too. No scuba diving due to red tide.  Almost 2 months since my last dive."
"19","@Lee49175759 @hollyanderson30 @vlamagirl @BrokenBridgeGXB @EverAshleigh @p_machor @Flash_Katie237 @MeganMae012 @aluca95 @IHeartChadMM87 @Sinjun45 @deezel21 @willmpolk @Curly_Fleur @candicesgirl22 @KalEl84 @StephB617 @SteveChung1968 @arjay_clark @JParkerK It’s foolish to dive in red tide but bunch of us are going. ","1040411418229714944","1039888702217093120",2018-09-14 01:26:26,"en",FALSE,"864964442806726656","everyone","962025055088758784","Wesley Chapel, FL","Jake Obadia","IronWolf714",FALSE,FALSE,"I, Jake Borg King. Empire, Alpha to Delta Quadrant. Offshoot of 7 of 9 and Doctor's mobile emitter. Borg free will and self aware. Resistance is Futile","https://pbs.twimg.com/profile_images/1122485897210081285/Wpdkq8J9_normal.jpg","2017-05-17T22:02:48.000Z",1,1,2,0,0,"0003df7b402165e0",1755,1886,62114,9,NA,NA,"@Lee49175759 @hollyanderson30 @vlamagirl @BrokenBridgeGXB @EverAshleigh @p_machor @Flash_Katie237 @MeganMae012 @aluca95 @IHeartChadMM87 @Sinjun45 @deezel21 @willmpolk @Curly_Fleur @candicesgirl22 @KalEl84 @StephB617 @SteveChung1968 @arjay_clark @JParkerK It’s foolish to dive in red tide but bunch of us are going"
"20","Coward. Gov. Scott cancels Naples campaign event after red tide protesters confront him in Venice  via @ndn. https   www naplesnews com story news government 2018 09 18 red tide protest gov scott cancels naples campaign event 1346723002","1042255842278604800","1042255842278604800",2018-09-19 03:35:31,"en",FALSE,"1045136112","everyone",NA,"San Antonio, Fl","Diane Verhoest","lfsgd_diane",FALSE,FALSE,"Retired Teacher. FL via NH via MA. Equality Advocate since '68. Not stopping now. Pass the damn ERA! My Sports & entertainment Acct: @SportsandRving","https://pbs.twimg.com/profile_images/1570914858442309640/CHcBIOgg_normal.jpg","2012-12-29T15:16:02.000Z",0,0,1,0,0,"0078551d41f411af",2130,4627,156474,96,NA,"1144261559142748160","Coward. Gov. Scott cancels Naples campaign event after red tide protesters confront him in Venice https://t.co/2SN3voAfuu via @ndn"
