"","text","possibly_sensitive","author_id","created_at.x","lang","id","in_reply_to_user_id","reply_settings","conversation_id","url","name","profile_image_url","verified","location","protected","description","username","created_at.y","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links","reply.to.thread.no.term"
"21","ST. PETERSBURG, Fla. (AP) — A decade after the nation’s worst offshore oil spill, dolphins, turtles and other wildlife in the Gulf of Mexico are still seriously at risk, according to a report released Tuesday. . https   www enewscourier com news state_and_nation wildlife group gulf oil spill still affecting wildlife article_da6cf39a 790b 11ea 82ba df329ce35932 html utm_campaign blox utm_source twitter utm_medium social",FALSE,"28156328",2020-04-07 20:15:05,"en","1247618924746870785",NA,"everyone","1247618924746870785","https://t.co/peZuqz0vvX","The News Courier","https://pbs.twimg.com/profile_images/117687887/courthouse_with_flag_normal.jpg",FALSE,"Athens, AL",FALSE,"The News Courier is an award-winning daily newspaper published in Athens, Alabama, covering Limestone County.","newscourier","2009-04-01T18:02:29.000Z",NA,0,0,0,0,0,4852,230,64172,94,"ST. PETERSBURG, Fla. (AP) — A decade after the nation’s worst offshore oil spill, dolphins, turtles and other wildlife in the Gulf of Mexico are still seriously at risk, according to a report released Tuesday. https://t.co/jX1LWzZuDp",FALSE
"22","ST. PETERSBURG, Fla. (AP) — A decade after the nation’s worst offshore oil spill, dolphins, turtles and other wildlife in&amp;hellip; . https   wtop com animals pets 2020 04 wildlife group gulf oil spill still affecting wildlife",FALSE,"15573537",2020-04-08 04:38:31,"en","1247745616085565442",NA,"everyone","1247745616085565442","https://t.co/RPgAV2KLS8","Jeremiah Charles","https://pbs.twimg.com/profile_images/1505396048717561857/ZXLG8AHG_normal.jpg",FALSE,"Alexandria, VA",FALSE,"Jedi Knight | Entrepreneur | Student of History & The Future | Home Remodeling | Solar Energy | Healthy Lifestyle Advocate #LGM #BayernMunich","JeremiahCharles","2008-07-23T22:20:21.000Z",NA,0,0,0,0,0,12923,10682,22708,123,"ST. PETERSBURG, Fla. (AP) — A decade after the nation’s worst offshore oil spill, dolphins, turtles and other wildlife in&amp;hellip; https://t.co/Lp7vYX6Hn0",FALSE
"23","Deepwater oil spill money pays for an inductive wireless charging bus station: As Electrek wrote in April, we’re still suffering from the Deepwater Horizon oil spill in the Gulf of Mexico a decade later. Scientists are finding oil from that spill in the…  . https   electrek co 2020 06 10 deepwater oil spill money inductive wireless charging bus station st petersburg florida. https   twitter com broadscaler status 1270719394952298501 photo 1",FALSE,"15844371",2020-06-10 14:08:07,"en","1270719394952298501",NA,"everyone","1270719394952298501","https://t.co/FkUbD7vBGk","Daniel Aharonoff","https://pbs.twimg.com/profile_images/1615895763778965505/Md6iucs8_normal.jpg",FALSE,"CA 91436, USA",FALSE,"Technology Investor & Ξntrepreneur 🦇🔊","broadscaler","2008-08-14T00:15:29.000Z",NA,0,0,0,0,0,360,326,58187,20,"Deepwater oil spill money pays for an inductive wireless charging bus station: As Electrek wrote in April, we’re still suffering from the Deepwater Horizon oil spill in the Gulf of Mexico a decade later. Scientists are finding oil from that spill in the… https://t.co/kjfXn8FbTS https://t.co/5iVuiOQDK0",FALSE
"24","@bdomenech 
We are lucky on the West Coast of Florida in a City of St Pete Beach, Historic Pass-A-Grille.
Been in business for 44 years.
Thru Tropical Depressions, oil spills, Red Tide, power outages  and recessions but nothing like the Coronavirus 
Governor helped back on track.. ",FALSE,"4105325777",2021-04-22 00:05:25,"en","1385021888531996672","14989516","everyone","1385021888531996672",NA,"Ric,,,,k Falkenstein","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",FALSE,NA,FALSE,"Family, Seafood,Sunsets and Beach life","RickFalkenstein","2015-11-03T15:11:06.000Z",NA,0,0,0,0,0,8,35,24,0,"@bdomenech 
We are lucky on the West Coast of Florida in a City of St Pete Beach, Historic Pass-A-Grille.
Been in business for 44 years.
Thru Tropical Depressions, oil spills, Red Tide, power outages  and recessions but nothing like the Coronavirus 
Governor helped back on track.",FALSE
"25","Toxins spilled into our oceans from humans who don’t care about our planet. They poison our oceans with off shore drilling, dump toxins into our ocean, and major oil spills every year, not to forget Fukushima spill . https   www fox13news com news in one day nine tons of dead fish removed from st pete waters due to red tide elsa",FALSE,"780891230146334720",2021-07-10 14:44:40,"en","1413871799083966468",NA,"everyone","1413871799083966468",NA,"Donna Hylton","https://pbs.twimg.com/profile_images/1436474545179922440/_5lT7Mff_normal.jpg",FALSE,NA,FALSE,"I'm a born again Christian.I am neither Republican or Democrat. I am passionate for the rights and health of people, animal, and earth. I love good journalism.","ReaderDon7","2016-09-27T22:05:52.000Z",NA,0,0,0,0,0,49,549,5772,4,"Toxins spilled into our oceans from humans who don’t care about our planet. They poison our oceans with off shore drilling, dump toxins into our ocean, and major oil spills every year, not to forget Fukushima spill https://t.co/g3pjBTBZrx",FALSE
"26","@MKRIZSA50 @FriendEden100 I lived on St Pete Beach. This breaks my heart. St PB is one of the ten most beautiful beaches in the world.
After the Exxon Oil Spill, reservations for tourists and weddings were cancelled and nearly bankrupted the area.
This is so much worse. I am so sorry Tampa Bay. ",FALSE,"1239679028337967105",2021-07-17 21:04:28,"en","1416504095679172610","235395935","everyone","1416362891251535873",NA,"Veronica Barrett","https://pbs.twimg.com/profile_images/1391457905115869184/Xjg8QO-l_normal.jpg",FALSE,NA,FALSE,"American Goddess.

The most courageous act is still to think for yourself. Aloud.
    Coco Chanel","Veronic07208343","2020-03-16T22:24:59.000Z",NA,2,0,3,0,0,2123,3910,12484,0,"@MKRIZSA50 @FriendEden100 I lived on St Pete Beach. This breaks my heart. St PB is one of the ten most beautiful beaches in the world.
After the Exxon Oil Spill, reservations for tourists and weddings were cancelled and nearly bankrupted the area.
This is so much worse. I am so sorry Tampa Bay",FALSE
"27","RT @Veronic07208343: @MKRIZSA50 @FriendEden100 I lived on St Pete Beach. This breaks my heart. St PB is one of the ten most beautiful beaches in the world.
After the Exxon Oil Spill, reservations for tourists and weddings were cancelled and nearly bankrupted the area.
This is so much worse. I am so sorry Tampa Bay. ",FALSE,"235395935",2021-07-17 21:21:11,"en","1416508301068615691",NA,"everyone","1416508301068615691",NA,"the real MKL","https://pbs.twimg.com/profile_images/1573853592850780160/Ph0x8wmK_normal.jpg",FALSE,"Ohio & Kentucky, USA",FALSE,"Biden 81,282,916 trump 74,223,369.Tribel Social @mari3865rr Welou Leigh.UVALDEstrong💔🇺🇦.VOTEblue🇺🇸.Pro CHOICE is Pro Life!GOPhouse-KevinMcC by the balls!","MKRIZSA50","2011-01-08T02:33:49.000Z","1623173109904732161",2,0,0,0,0,6210,6831,218985,29,"RT @Veronic07208343: @MKRIZSA50 @FriendEden100 I lived on St Pete Beach. This breaks my heart. St PB is one of the ten most beautiful beaches in the world.
After the Exxon Oil Spill, reservations for tourists and weddings were cancelled and nearly bankrupted the area.
This is so much worse. I am so sorry Tampa Bay",FALSE
"28","RT @Veronic07208343: @MKRIZSA50 @FriendEden100 I lived on St Pete Beach. This breaks my heart. St PB is one of the ten most beautiful beaches in the world.
After the Exxon Oil Spill, reservations for tourists and weddings were cancelled and nearly bankrupted the area.
This is so much worse. I am so sorry Tampa Bay. ",FALSE,"1369061300790325251",2021-07-21 01:37:04,"en","1417659860674621445",NA,"everyone","1417659860674621445",NA,"Funny Girl","https://pbs.twimg.com/profile_images/1369061835371057158/A1wgaL3D_normal.jpg",FALSE,NA,FALSE,"Love nature and animals, the GOP are bought & Sold 🌊🌊🌊🌊🌊 🇨🇦 Go Democrats!!!🌊🌊🌊🌊 End the Filibuster, Expand the Court, Voting Rights! vote Blue!","FunnyGi163","2021-03-08T23:04:47.000Z",NA,2,0,0,0,0,3461,4986,75562,7,"RT @Veronic07208343: @MKRIZSA50 @FriendEden100 I lived on St Pete Beach. This breaks my heart. St PB is one of the ten most beautiful beaches in the world.
After the Exxon Oil Spill, reservations for tourists and weddings were cancelled and nearly bankrupted the area.
This is so much worse. I am so sorry Tampa Bay",FALSE
"29","AND THERE IS AN OIL LEAK IN THE GULF I PRAY IT DOES NOT DRIFT HERE
DESANTIS IS NOT CAPABLE OF PROTECTING ANYTHING BUT HIS WALLET ASK TAMPA ST. PETE
Divers to try to locate source of reported oil spill in Gulf - Coast Guard  #SmartNews. https   www reuters com world us divers try locate source reported oil spill gulf coast guard 2021 09 05",FALSE,"3324024455",2021-09-05 04:55:55,"en","1434379746192752646",NA,"everyone","1434379746192752646",NA,"Resist Republicans in Florida","https://pbs.twimg.com/profile_images/1493850523392528387/VcWVtXVW_normal.jpg",FALSE,"Orlando, FL",FALSE,"🇺🇸✌🏿✌🏾✌🏽✌🏼✌🏻🌈BLM🍄🌺Florida is a Blue state.💙🌊 I will always resist the Republican party and every policy they stand for🎯.  From Trump to Desantis💩","FLWillRegret22","2015-06-14T01:46:05.000Z","1615886682766860293",1,0,1,0,0,10488,8698,33733,20,"AND THERE IS AN OIL LEAK IN THE GULF I PRAY IT DOES NOT DRIFT HERE
DESANTIS IS NOT CAPABLE OF PROTECTING ANYTHING BUT HIS WALLET ASK TAMPA ST. PETE
Divers to try to locate source of reported oil spill in Gulf - Coast Guard https://t.co/nJB2STspTH #SmartNews",FALSE
"30","RT @1termDesantis: AND THERE IS AN OIL LEAK IN THE GULF I PRAY IT DOES NOT DRIFT HERE
DESANTIS IS NOT CAPABLE OF PROTECTING ANYTHING BUT HIS WALLET ASK TAMPA ST. PETE
Divers to try to locate source of reported oil spill in Gulf - Coast Guard  #SmartNews. https   www reuters com world us divers try locate source reported oil spill gulf coast guard 2021 09 05",FALSE,"1242709697397952512",2021-09-05 05:00:19,"en","1434380853560283137",NA,"everyone","1434380853560283137",NA,"PamelaTweets","https://pbs.twimg.com/profile_images/1543335618217799680/JMmQnOfJ_normal.jpg",FALSE," USA",FALSE,"PLEASE NO LISTS!  DMs IGNORED.  I hate the GQP. Outspoken,  Kindness. Acceptance, AntiFa, LGBTQ, BLM, Music. NO STORES, CRYPTO
**Compliments r not Flirtation **","TweetsPamela","2020-03-25T07:08:31.000Z",NA,1,0,0,0,0,12155,11940,267032,14,"RT @1termDesantis: AND THERE IS AN OIL LEAK IN THE GULF I PRAY IT DOES NOT DRIFT HERE
DESANTIS IS NOT CAPABLE OF PROTECTING ANYTHING BUT HIS WALLET ASK TAMPA ST. PETE
Divers to try to locate source of reported oil spill in Gulf - Coast Guard https://t.co/nJB2STspTH #SmartNews",FALSE
